epoch,val/R2,model
998,0.8235065340995789,explicit-mlp
998,0.8219591975212097,explicit-mlp
998,0.8228106498718262,explicit-mlp
998,0.820888876914978,explicit-mlp
998,0.8208357095718384,explicit-mlp
998,0.8120099306106567,explicit-mlp
998,0.8168264031410217,explicit-mlp
998,0.8199580907821655,explicit-mlp
998,0.8158720135688782,explicit-mlp
998,0.8142409324645996,explicit-mlp
992,0.8171983361244202,explicit-transformer-dropoutcontext
992,0.8098258972167969,explicit-transformer-dropoutcontext
992,0.8165311217308044,explicit-transformer-dropoutcontext
992,0.8156012296676636,explicit-transformer-dropoutcontext
992,0.8232186436653137,explicit-transformer-dropoutcontext
992,0.8120086789131165,explicit-transformer-dropoutcontext
992,0.8168814182281494,explicit-transformer-dropoutcontext
992,0.8176145553588867,explicit-transformer-dropoutcontext
992,0.8144820332527161,explicit-transformer-dropoutcontext
992,0.8263307213783264,explicit-transformer-dropoutcontext
999,0.8202692866325378,implicit-dropout
999,0.8151421546936035,implicit-dropout
999,0.8225313425064087,implicit-dropout
999,0.8119335770606995,implicit-dropout
999,0.8102116584777832,implicit-dropout
999,0.8177618980407715,implicit-dropout
999,0.8197494149208069,implicit-dropout
999,0.8194088339805603,implicit-dropout
999,0.8240983486175537,implicit-dropout
999,0.8152550458908081,implicit-dropout
