run_id,epoch,model,context_style,val/iid_w_loss,val/far_w_loss,val/wide_w_loss
xefdubx2,985,explicit-known,near,0.8037458658218384,0.8125063180923462,0.8037458658218384
9o3j2a27,985,explicit-known,near,0.8032682538032532,0.7961877584457397,0.8032682538032532
vikea5pu,985,explicit-known,near,0.7685275077819824,0.7636786103248596,0.7685275077819824
bfi1i1v0,985,explicit-known,near,0.7943146228790283,0.7794930338859558,0.7943146228790283
gbvfgp8v,985,explicit-known,near,0.7941628694534302,0.7773616909980774,0.7941628694534302
v3xgi1ed,969,explicit-known,same,0.7677286863327026,0.7650390267372131,0.7677286863327026
apj0em2n,969,explicit-known,same,0.8089472055435181,0.800849974155426,0.8089472055435181
m9iz76pm,969,explicit-known,same,0.7933170795440674,0.781661331653595,0.7933170795440674
8cl12ui5,969,explicit-known,same,0.788823664188385,0.7765810489654541,0.788823664188385
23d8s2di,969,explicit-known,same,0.8069411516189575,0.8132422566413879,0.8069411516189575
oxjso0xm,813,explicit-mlp,near,0.7756158709526062,0.7762346267700195,0.7756158709526062
mojj3q18,813,explicit-mlp,near,0.8147234916687012,0.8051798939704895,0.8147234916687012
b7rbuaaq,813,explicit-mlp,near,0.8186598420143127,0.8204993605613708,0.8186598420143127
zztmxds3,813,explicit-mlp,near,0.8096736073493958,0.7975283861160278,0.8096736073493958
rga581t9,813,explicit-mlp,near,0.8100588917732239,0.794208288192749,0.8100588917732239
mf3kiiys,998,explicit-mlp,same,0.7751506567001343,0.7761664986610413,0.7751506567001343
p1ehckqu,998,explicit-mlp,same,0.8140323162078857,0.8065709471702576,0.8140323162078857
1sq2803r,998,explicit-mlp,same,0.8143179416656494,0.8201847672462463,0.8143179416656494
s23s8vwd,998,explicit-mlp,same,0.8023813962936401,0.7908037304878235,0.8023813962936401
lqiufxv8,998,explicit-mlp,same,0.8034899234771729,0.7862803339958191,0.8034899234771729
ij7w9rkf,922,explicit-transformer,near,0.7681190371513367,0.7651113271713257,0.7681190371513367
bsx9lerl,922,explicit-transformer,near,0.8046846389770508,0.7986865043640137,0.8046846389770508
4pof9tsv,922,explicit-transformer,near,0.8060134649276733,0.8031303882598877,0.8060134649276733
xxgbcztc,922,explicit-transformer,near,0.792963981628418,0.7790560126304626,0.792963981628418
n170rg19,922,explicit-transformer,near,0.7953623533248901,0.7766202688217163,0.7953623533248901
7aprf8t9,941,explicit-transformer,same,0.7706665992736816,0.7694796919822693,0.7706665992736816
y9jyswhj,941,explicit-transformer,same,0.7981847524642944,0.7816260457038879,0.7981847524642944
2cm1o0l0,941,explicit-transformer,same,0.8012476563453674,0.7960583567619324,0.8012476563453674
z764wzz6,941,explicit-transformer,same,0.8037819266319275,0.8054791688919067,0.8037819266319275
pi32hvsk,941,explicit-transformer,same,0.7929832339286804,0.7732059359550476,0.7929832339286804
