run_id,epoch,model,context_style,val/iid_MSE,val/far_MSE,val/wide_MSE
txovb1y5,962,explicit-aux-transformer,near,0.033146925270557404,0.15773612260818481,1.7311862707138062
867px73e,962,explicit-aux-transformer,near,0.028224647045135498,0.16220784187316895,1.3840112686157227
1z9qsv0s,962,explicit-aux-transformer,near,0.028198426589369774,0.24029186367988586,2.1543948650360107
34klxyx7,962,explicit-aux-transformer,near,0.028172994032502174,0.17660430073738098,1.756679892539978
w45ldg1q,962,explicit-aux-transformer,near,0.036286838352680206,0.17913056910037994,3.0135691165924072
deav0fip,915,explicit-aux-transformer,same,0.028290094807744026,0.1526719033718109,1.2480463981628418
6qszyzcz,915,explicit-aux-transformer,same,0.026984570547938347,0.16722595691680908,1.5889610052108765
fpswcdmw,915,explicit-aux-transformer,same,0.03890151157975197,0.1844988465309143,2.5056185722351074
snzvn6hd,915,explicit-aux-transformer,same,0.03288150578737259,0.24330100417137146,1.8843365907669067
ml28omt6,915,explicit-aux-transformer,same,0.035380132496356964,0.15193134546279907,1.4091380834579468
play59tu,938,explicit-known,near,0.0673847645521164,0.36417093873023987,1.2803741693496704
yqleo8g0,938,explicit-known,near,0.0683654397726059,0.3975221812725067,1.2277294397354126
xejd5xz4,938,explicit-known,near,0.07159815728664398,0.4244166612625122,1.3914921283721924
u5ipo5am,938,explicit-known,near,0.06725291907787323,0.42631837725639343,1.5498836040496826
bxm6atpi,938,explicit-known,near,0.07885459810495377,0.4866200089454651,1.6211248636245728
zprq4k1n,998,explicit-known,same,0.0643281564116478,0.35339051485061646,1.2314378023147583
zb5ue3rw,998,explicit-known,same,0.06691361963748932,0.4044284522533417,1.4722579717636108
dfyn0bqv,998,explicit-known,same,0.06497573852539062,0.3750333786010742,1.1474761962890625
4774765f,998,explicit-known,same,0.07688667625188828,0.424254447221756,1.3194407224655151
k2v8wsqr,998,explicit-known,same,0.06256891787052155,0.3668491244316101,1.1562367677688599
zdpx3de4,990,explicit-mlp,near,0.03001529350876808,0.18776649236679077,2.3013577461242676
8sor60o7,990,explicit-mlp,near,0.035667747259140015,0.20386719703674316,2.6209018230438232
oh3bm2ra,990,explicit-mlp,near,0.03682154789566994,0.24266470968723297,3.889878988265991
kbl28lym,990,explicit-mlp,near,0.0329277478158474,0.18391841650009155,2.4223172664642334
m5yzu0th,990,explicit-mlp,near,0.04014807939529419,0.3018634617328644,3.7098090648651123
fe9vof6q,998,explicit-mlp,same,0.03729822859168053,0.22715862095355988,2.4480061531066895
q7opi5wb,998,explicit-mlp,same,0.02905268780887127,0.1709793508052826,1.8632307052612305
7wufff6e,998,explicit-mlp,same,0.037224169820547104,0.21499617397785187,3.5475189685821533
rvac2rj6,998,explicit-mlp,same,0.036300793290138245,0.1994081437587738,1.8322539329528809
5fmeve6p,998,explicit-mlp,same,0.03619958460330963,0.24249441921710968,3.468825340270996
ak9hwcmx,976,explicit-transformer,near,0.020519234240055084,0.1333935558795929,1.2922590970993042
t6gbdul5,976,explicit-transformer,near,0.022154150530695915,0.15845344960689545,1.9124939441680908
lct1ncku,976,explicit-transformer,near,0.024436164647340775,0.23146945238113403,2.6336069107055664
cyr60zoe,976,explicit-transformer,near,0.029252242296934128,0.14686527848243713,1.5900294780731201
e5c8prc4,976,explicit-transformer,near,0.030529413372278214,0.1723250299692154,2.923266887664795
fn0p7mp1,991,explicit-transformer,same,0.02275732532143593,0.1377612054347992,1.1377962827682495
tcg4kt6c,991,explicit-transformer,same,0.02560955099761486,0.1763148009777069,1.5909746885299683
r9xwny9z,991,explicit-transformer,same,0.031380582600831985,0.16662649810314178,2.403632402420044
ayxs45tk,991,explicit-transformer,same,0.026445752009749413,0.23007500171661377,1.945061445236206
ryw3md9t,991,explicit-transformer,same,0.03099009580910206,0.14670678973197937,1.2449822425842285
e2jfrs3l,992,implicit,near,0.012756080366671085,0.13689564168453217,1.260730504989624
l8pepwzk,992,implicit,near,0.018353629857301712,0.15758876502513885,2.3165783882141113
7bwx701m,992,implicit,near,0.012984268367290497,0.15420317649841309,1.4857330322265625
gkta89co,992,implicit,near,0.016936862841248512,0.12375857681035995,1.1946630477905273
r6uxlpiz,992,implicit,near,0.011384730227291584,0.19939292967319489,1.9168411493301392
hjz9gfqu,983,implicit,same,0.007766371127218008,0.06866273283958435,0.7771698832511902
m9dtdckk,983,implicit,same,0.008345597423613071,0.09001244604587555,1.0693117380142212
ylgp4bpr,983,implicit,same,0.014996880665421486,0.07427410781383514,0.8327395915985107
s09agrih,983,implicit,same,0.016385961323976517,0.08941883593797684,1.724218726158142
9x5f6h5g,983,implicit,same,0.010393984615802765,0.1450914442539215,1.3410545587539673
