run_id,epoch,model,val_iid/accuracy,val_ood/accuracy
llflwjya,767,explicit-aux-transformer,0.9877109527587891,0.9878292679786682
65cf94pz,767,explicit-aux-transformer,0.9900744557380676,0.9898557066917419
k9xk379b,767,explicit-aux-transformer,0.9886716604232788,0.9883995056152344
ls6zzt3e,767,explicit-aux-transformer,0.9903438091278076,0.99040687084198
ygriufzd,767,explicit-aux-transformer,0.9896125793457031,0.9893268942832947
5lwctmj9,829,explicit-known,0.9992172718048096,0.999252200126648
ihx5h0or,829,explicit-known,0.9966675043106079,0.9966667890548706
mn19py0i,829,explicit-known,0.9875177145004272,0.9876409769058228
3ckb9a7t,829,explicit-known,0.9945484399795532,0.9944393038749695
0p3az9ih,829,explicit-known,0.9889438152313232,0.9890941381454468
05twpp9s,791,explicit-mlp,0.9843974709510803,0.9846220016479492
gm8005wl,791,explicit-mlp,0.9707136154174805,0.9704385995864868
okqgocw2,791,explicit-mlp,0.9858009815216064,0.9853041172027588
3s03r4ev,791,explicit-mlp,0.9833905100822449,0.9834057688713074
p5825np5,791,explicit-mlp,0.9723760485649109,0.9724354147911072
co0sazzu,956,explicit-transformer,0.9840273261070251,0.9840015172958374
2hkq6t4o,956,explicit-transformer,0.9841005206108093,0.9839825630187988
hvau6hmc,956,explicit-transformer,0.9805014133453369,0.9801014065742493
rjajrfrw,956,explicit-transformer,0.9849046468734741,0.9846041202545166
hcif169k,956,explicit-transformer,0.9871532917022705,0.9865928888320923
7fb6ulm8,608,implicit,0.9805233478546143,0.9804593324661255
mvrp3rc0,608,implicit,0.9710459113121033,0.9713943600654602
tlxyis3a,608,implicit,0.9783388376235962,0.9783229827880859
8ujfg7yc,608,implicit,0.9802745580673218,0.9801598787307739
thxea7qw,608,implicit,0.9822289943695068,0.9822591543197632
