epoch,val/iid_MSE,val/far_MSE,val/wide_MSE,model
995,100.28386688232422,97.48016357421875,363.7259521484375,explicit-mlp
995,89.39179229736328,87.7829818725586,218.52989196777344,explicit-mlp
995,87.13719940185547,85.49101257324219,227.5172882080078,explicit-mlp
989,292.0520935058594,283.5859680175781,287.84051513671875,explicit-transformer
989,292.0589294433594,283.8590087890625,287.61669921875,explicit-transformer
989,249.46780395507812,246.68507385253906,265.9607849121094,explicit-transformer
760,297.28125,289.44183349609375,290.5605773925781,implicit
760,285.8854064941406,278.788330078125,278.95599365234375,implicit
760,297.32330322265625,289.39166259765625,290.3994140625,implicit
