epoch,val/iid_w_loss,val/far_w_loss,val/wide_w_loss,model
989,0.0012671072036027908,0.0014751014532521367,0.0012671072036027908,explicit-known
989,0.0009669215651229024,0.0009436073014512658,0.0009669215651229024,explicit-known
989,0.0006264317198656499,0.0005658195004798472,0.0006264317198656499,explicit-known
989,0.0010965928668156266,0.001101374626159668,0.0010965928668156266,explicit-known
989,0.000912474759388715,0.0009440364665351808,0.000912474759388715,explicit-known
989,0.001474194461479783,0.0015949938679113984,0.001474194461479783,explicit-known
989,0.001126027898862958,0.0011510623153299093,0.001126027898862958,explicit-known
989,0.0007357221329584718,0.0007741620647720993,0.0007357221329584718,explicit-known
989,0.0012464550090953708,0.0012386244488880038,0.0012464550090953708,explicit-known
989,0.001878512091934681,0.0018596614245325327,0.001878512091934681,explicit-known
988,0.004574022721499205,0.00495890062302351,0.004574022721499205,explicit-mlp
988,0.0041464040987193584,0.004748244304209948,0.0041464040987193584,explicit-mlp
988,0.0027867136523127556,0.0030138129368424416,0.0027867136523127556,explicit-mlp
988,0.0026939455419778824,0.0030090969521552324,0.0026939455419778824,explicit-mlp
988,0.004801736678928137,0.004734650254249573,0.004801736678928137,explicit-mlp
988,0.005605264101177454,0.005694938823580742,0.005605264101177454,explicit-mlp
988,0.0017237275606021285,0.0017218225402757525,0.0017237275606021285,explicit-mlp
988,0.0053293476812541485,0.005502714309841394,0.0053293476812541485,explicit-mlp
988,0.005175434518605471,0.005225310102105141,0.005175434518605471,explicit-mlp
988,0.004815350286662579,0.0045600696466863155,0.004815350286662579,explicit-mlp
969,0.0034604098182171583,0.0036548578646034002,0.0034604098182171583,explicit-transformer
969,0.00186933483928442,0.0019166100537404418,0.00186933483928442,explicit-transformer
969,0.0030666987877339125,0.0031473254784941673,0.0030666987877339125,explicit-transformer
969,0.003194408491253853,0.0033997560385614634,0.003194408491253853,explicit-transformer
969,0.0030278987251222134,0.0029947643633931875,0.0030278987251222134,explicit-transformer
969,0.0026702377945184708,0.0027315025217831135,0.0026702377945184708,explicit-transformer
969,0.002215335378423333,0.0021906604524701834,0.002215335378423333,explicit-transformer
969,0.0031650718301534653,0.0034695123322308064,0.0031650718301534653,explicit-transformer
969,0.003135805716738105,0.0034719922114163637,0.003135805716738105,explicit-transformer
969,0.0018117266008630395,0.0017828454729169607,0.0018117266008630395,explicit-transformer
